FileName,Standard Industrial Classification
278669.txt,"['6798', '6519']"
271829.txt,['8093']
265702.txt,"['6798', '6798']"
279545.txt,['7841']
274646.txt,['6798']
267654.txt,['3674']
280849.txt,"['6189', '6189']"
279940.txt,['2834']
269869.txt,['3669']
282189.txt,['6531']
274119.txt,"['6189', '6189']"
278592.txt,['4911']
274340.txt,['2844']
282556.txt,['7011']
266965.txt,['3640']
283516.txt,['6189']
274746.txt,['6035']
281449.txt,['2834']
272644.txt,['8731']
276155.txt,"['4512', '4512']"
265049.txt,['7363']
278922.txt,['5150']
266823.txt,['2834']
283609.txt,['8090']
282675.txt,['1000']
281792.txt,['3845']
275653.txt,['5190']
268389.txt,['2050']
265070.txt,['5010']
268686.txt,['1000']
271284.txt,['6798']
278146.txt,['5661']
277232.txt,['6021']
277745.txt,['6022']
266090.txt,['6331']
272985.txt,['2834']
265564.txt,['1731']
273910.txt,['5500']
284943.txt,['3841']
273406.txt,['7372']
281103.txt,['6021']
265663.txt,['4813']
277294.txt,['7380']
270531.txt,['6770']
277549.txt,['1400']
279770.txt,['3661']
283658.txt,['6189']
276678.txt,['1311']
282715.txt,['3669']
281200.txt,['1389']
285815.txt,['7389']
269622.txt,['6770']
269184.txt,['1389']
281061.txt,['2111']
283070.txt,['2821']
276423.txt,['6794']
282268.txt,['7011']
277107.txt,['6035']
276962.txt,['1531']
285488.txt,['6331']
284095.txt,['6770']
273599.txt,['6770']
268782.txt,"['6221', '6221']"
278421.txt,['3460']
277027.txt,['0800']
274819.txt,['6798']
272321.txt,['7370']
267776.txt,['7372']
271551.txt,['6798']
277208.txt,['3669']
277581.txt,['6794']
277348.txt,['3089']
285595.txt,['2836']
267994.txt,['4813']
265829.txt,['5600']
279507.txt,['2040']
274855.txt,['6500']
279457.txt,['2522']
276209.txt,['2520']
271631.txt,['2080']
277360.txt,['3260']
267967.txt,['6282']
270399.txt,['3841']
267257.txt,['2834']
268532.txt,['1311']
280131.txt,"['6189', '6189']"
285619.txt,['4731']
269228.txt,['4899']
283781.txt,"['6189', '6189']"
280415.txt,['8742']
269926.txt,['6798']
273884.txt,['6311']
274722.txt,['2810']
281167.txt,['2834']
266895.txt,['6021']
274512.txt,['2834']
268814.txt,['5122']
279125.txt,['3572']
283296.txt,['7812']
270580.txt,['2836']
281354.txt,"['5000', '5000']"
279909.txt,['3663']
272162.txt,['2100']
281765.txt,['4813']
275273.txt,['6189']
285401.txt,['1531']
283889.txt,"['6189', '6189']"
280300.txt,['2834']
275551.txt,['2810']
266463.txt,['3080']
285024.txt,['6021']
266196.txt,['2834']
277035.txt,['4911']
284204.txt,"['4931', '4931']"
266946.txt,['6035']
272669.txt,['4923']
276265.txt,['2086']
273290.txt,['6199']
271076.txt,['6029']
279899.txt,['6331']
281362.txt,['3822']
271764.txt,['6798']
272869.txt,['5810']
270329.txt,['3670']
283715.txt,['6531']
273512.txt,['0100']
267226.txt,['6798']
268742.txt,['1382']
270187.txt,['7381']
266411.txt,"['4931', '4911', '4911', '4911', '4911', '4911', '4924', '4931']"
280671.txt,['1600']
265384.txt,['4911']
279080.txt,['7371']
278277.txt,"['6189', '6189']"
277288.txt,"['4911', '4911']"
281063.txt,['2836']
282703.txt,['3690']
275912.txt,['5651']
275981.txt,['1381']
283338.txt,['6189']
278418.txt,['1311']
270776.txt,['4581']
277877.txt,['5812']
273513.txt,['6189']
265356.txt,['3714']
277732.txt,['6022']
273475.txt,['7812']
276340.txt,['3559']
271975.txt,['2731']
276620.txt,['4931']
275056.txt,['6189']
274698.txt,['4210']
272482.txt,['2836']
277259.txt,['3711']
285092.txt,['2020']
272257.txt,['3270']
272227.txt,['6798']
265454.txt,"['6798', '6798']"
274910.txt,['6022']
281583.txt,['1311']
281401.txt,['5960']
272127.txt,['6189']
279592.txt,['6022']
269377.txt,['4922']
279261.txt,['4911']
271432.txt,['7374']
265866.txt,['2834']
284430.txt,['3011']
279785.txt,['9995']
285249.txt,['6022']
281062.txt,['3674']
281425.txt,['7372']
284678.txt,['3533']
274760.txt,['6770']
267846.txt,"['6798', '6798']"
273342.txt,['6189']
266667.txt,['5945']
267174.txt,['4911']
266705.txt,['6021']
284210.txt,['3357']
281919.txt,['4922']
277634.txt,['2330']
272932.txt,['6770']
277131.txt,['5311']
273814.txt,['6189']
266949.txt,['4833']
265625.txt,['5912']
275243.txt,['6189']
267606.txt,['6794']
282070.txt,['4841']
274081.txt,['3272']
270224.txt,['2834']
280897.txt,"['6221', '6211', '6211', '6211', '6211', '6211', '6211', '6211']"
274204.txt,['6035']
272279.txt,['3990']
266433.txt,['7372']
265149.txt,['4813']
283005.txt,[]
268685.txt,['1531']
285722.txt,['4931']
283742.txt,['6189']
277366.txt,"['4400', '4400']"
274013.txt,['2430']
272868.txt,['5810']
267376.txt,['6321']
278096.txt,['7370']
276398.txt,['6022']
284602.txt,['2911']
276636.txt,['2836']
279982.txt,['4813']
273771.txt,['7370']
277618.txt,['6331']
282894.txt,['8742']
276309.txt,['8741']
278256.txt,['7372']
282772.txt,['6189']
273132.txt,['6189']
268605.txt,['2834']
284608.txt,['3829']
266416.txt,['7373']
270587.txt,['2834']
271037.txt,['1311']
267761.txt,['8742']
283122.txt,['6798']
277120.txt,['4512']
266452.txt,['5961']
273386.txt,['6035']
276504.txt,['3845']
268853.txt,"['6189', '6189']"
279462.txt,['4813']
277534.txt,['8711']
265411.txt,['5500']
285246.txt,['2273']
281443.txt,['8731']
272394.txt,['3533']
267078.txt,['2911']
273095.txt,['6798']
283442.txt,['2836']
271101.txt,['8742']
281507.txt,['5990']
277609.txt,['7372']
269072.txt,['7372']
274037.txt,['3949']
267977.txt,['8731']
273587.txt,"['6189', '6189']"
266701.txt,['6770']
274867.txt,['6189']
273002.txt,['6189']
283016.txt,['2834']
266117.txt,['7372']
280416.txt,['3350']
274116.txt,['6798']
285163.txt,['6021']
273620.txt,['7372']
270475.txt,['7389']
271511.txt,['6189']
269625.txt,['6199']
281065.txt,['6022']
270831.txt,['5122']
276654.txt,['6022']
285659.txt,['3829']
268494.txt,['2836']
272927.txt,['8742']
282793.txt,['6211']
278612.txt,['3841']
277087.txt,['3845']
271243.txt,"['6199', '6199']"
273128.txt,['6189']
277712.txt,['1381']
268644.txt,[]
277254.txt,['5812']
272334.txt,['7371']
269505.txt,['3350']
281021.txt,['3661']
274640.txt,['6035']
276476.txt,['1311']
278114.txt,['2800']
280544.txt,['6111']
273136.txt,['4922']
268793.txt,['6022']
268658.txt,['8742']
274543.txt,['6189']
265234.txt,['2844']
267697.txt,['2870']
273992.txt,['2800']
278949.txt,['3571']
282717.txt,['5940']
275987.txt,['3570']
266951.txt,['4833']
266680.txt,['7310']
277579.txt,['3523']
283006.txt,['2821']
279477.txt,['8111']
267820.txt,['2834']
268504.txt,"['6798', '6798']"
272937.txt,['0200']
274798.txt,['6199']
267589.txt,['3674']
285854.txt,['6211']
281984.txt,['2834']
271460.txt,['6021']
281953.txt,['6798']
269573.txt,['6798']
273712.txt,['7371']
266507.txt,['2834']
277032.txt,"['4931', '4911', '4911', '4911', '4911', '4911', '4924', '4931']"
266250.txt,['1311']
269959.txt,['2836']
266166.txt,['6022']
271604.txt,['3585']
282840.txt,['7372']
285550.txt,"['6798', '6798']"
270685.txt,['8742']
285473.txt,['6199']
282370.txt,['2835']
271941.txt,['6036']
278977.txt,['1311']
281697.txt,['7371']
278895.txt,['3661']
270140.txt,['2510']
266824.txt,['4911']
272039.txt,['2834']
277173.txt,['4400']
281414.txt,['6021']
267582.txt,['5065']
278174.txt,['1311']
269314.txt,['3714']
280580.txt,['6798']
284621.txt,['6021']
266161.txt,['3716']
268885.txt,['7389']
265225.txt,['1040']
267373.txt,['6794']
281857.txt,['6199']
278171.txt,['6022']
283533.txt,['6770']
273644.txt,['5130']
283830.txt,['7374']
281193.txt,['8200']
273824.txt,['7948']
283316.txt,['7900']
281938.txt,['2834']
277412.txt,['3678']
279017.txt,['7372']
281945.txt,['6189']
283499.txt,['6798']
274445.txt,['8742']
272623.txt,['4922']
281296.txt,"['6221', '6211', '6211', '6211', '6211', '6211', '6211', '6211']"
272696.txt,['8731']
276078.txt,['6321']
281108.txt,['1040']
279571.txt,['3585']
275674.txt,['2834']
266808.txt,['7948']
268891.txt,['4924']
272194.txt,['7600']
274620.txt,['6189']
274697.txt,['6189']
269678.txt,['4581']
284580.txt,['3590']
282381.txt,['7374']
277835.txt,['2086']
267098.txt,['3050']
277008.txt,"['4931', '4911', '4931', '4931', '4911', '4931', '4911', '4931', '4911']"
281904.txt,['6189']
277815.txt,['6331']
275772.txt,['1311']
280635.txt,['1382']
282350.txt,['6022']
282929.txt,['6189']
266860.txt,['0700']
282516.txt,['2731']
269535.txt,['1000']
267778.txt,['2100']
268827.txt,"['6221', '6221']"
276191.txt,['2721']
277220.txt,['3613']
275439.txt,"['4911', '4931', '4911']"
276911.txt,['6798']
267033.txt,['2836']
266136.txt,['3829']
274188.txt,['3674']
266376.txt,['6361']
281447.txt,['6221']
274376.txt,['5500']
271158.txt,['2834']
276707.txt,"['6189', '6189', '6189', '6189', '6189', '6189', '6189']"
276210.txt,['6512']
279985.txt,['2070']
270656.txt,['3845']
281066.txt,['4813']
281291.txt,['3841']
265294.txt,['7372']
283117.txt,['2030']
280937.txt,['1400']
272165.txt,['3713']
271848.txt,['6798']
275316.txt,['6189']
285768.txt,['6199']
266710.txt,['3590']
285129.txt,['2844']
268172.txt,['3841']
270771.txt,['7812']
281214.txt,['4841']
278271.txt,"['6189', '6189']"
272075.txt,['5812']
271385.txt,['3651']
272638.txt,['3845']
